"Name","Genre"
"Adelina","f"
"Adna","f"
"Adriana","f"
"Adrijana","f"
"Aiša","f"
"Ajda","f"
"Ajna","f"
"Ajša","f"
"Albina","f"
"Aleksandra","f"
"Alenka","f"
"Alisa","f"
"Alja","f"
"Alma","f"
"Alojzija","f"
"Amadeja","f"
"Amalija","f"
"Amelie","f"
"Amna","f"
"Amra","f"
"Ana","f"
"Ana Marija","f"
"Anabela","f"
"Anaja","f"
"Anamarija","f"
"Anastasia","f"
"Anastazija","f"
"Andreja","f"
"Andrejka","f"
"Angela","f"
"Angelina","f"
"Anica","f"
"Anita","f"
"Anja","f"
"Anka","f"
"Anna","f"
"Antonija","f"
"Ariana","f"
"Aurora","f"
"Barbara","f"
"Beda","f"
"Bega","f"
"Bela","f"
"Belica","f"
"Bernarda","f"
"Berta","f"
"Blagica","f"
"Blanka","f"
"Blažka","f"
"Bojana","f"
"Boža","f"
"Boželisa","f"
"Branka","f"
"Bratrica","f"
"Breda","f"
"Brigita","f"
"Brzila","f"
"Brzota","f"
"Budislava","f"
"Cecilija","f"
"Cirila","f"
"Cveta","f"
"Cvetka","f"
"Damjana","f"
"Dana","f"
"Danaja","f"
"Danica","f"
"Daniela","f"
"Danijela","f"
"Darinka","f"
"Darja","f"
"Daša","f"
"Deja","f"
"Dijana","f"
"Dobra","f"
"Dobrava","f"
"Dobrica","f"
"Dobronega","f"
"Dobroslava","f"
"Dobrovlasta","f"
"Dobrožica","f"
"Dobrožizna","f"
"Dolga","f"
"Dolgodelka","f"
"Dora","f"
"Doroteja","f"
"Draga","f"
"Dragica","f"
"Dražna","f"
"Dunja","f"
"Dušanka","f"
"Eli","f"
"Elisa","f"
"Eliza","f"
"Elizabeta","f"
"Ema","f"
"Emili","f"
"Emilija","f"
"Eneja","f"
"Enja","f"
"Erika","f"
"Erin","f"
"Erna","f"
"Eva","f"
"Evelin","f"
"Evelina","f"
"Evelyn","f"
"Evita","f"
"Franca","f"
"Frančiška","f"
"Gabriela","f"
"Gabrijela","f"
"Gaia","f"
"Genovefa","f"
"Gizela","f"
"Glorija","f"
"Godeslava","f"
"Gojica","f"
"Gojka","f"
"Gojmira","f"
"Gola","f"
